id,project_id,title,url,created_at,updated_at
2,11,GMP,https://app.buildingconnected.com/_/join-rfp?bgid=67ab5e68026c2a00849d5ac6&code=c15b0af5-a7f2-4225-ac47-0e80d484db4f&inviterId=5a8ca8b909f5c6000fce095d&inviteeId=653ac274b174a8003178d7dc&share=1,2025-06-27 20:14:06,2025-06-27 20:14:06
3,12,Stucco Substitute,https://casanovasiding.sharepoint.com/sites/PreConstruction/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FPreConstruction%2FShared%20Documents%2F10%5FQuote%202023%2FCHINA%20CONSTRUCTION%2FOverlook%20at%20Osprey%2FImportant%20Emails%2FRE%20EXTERNALRE%20The%20Overlook%20%2D%20Stucco%20Substitute%2Emsg&parent=%2Fsites%2FPreConstruction%2FShared%20Documents%2F10%5FQuote%202023%2FCHINA%20CONSTRUCTION%2FOverlook%20at%20Osprey%2FImportant%20Emails&p=true&ga=1,2025-06-27 20:15:33,2025-07-30 18:56:03
4,21,GMP,https://app.buildingconnected.com/_/join-rfp?bgid=67b26b6162f70b0054b22f75&code=c47b9520-2ea1-4cf1-aefd-5934ac9c5b89&inviterId=5b8434f6d9a8b4000fb4b75b&inviteeId=6842ffc2e4868301f1b9aee3&share=0						,2025-06-27 20:15:43,2025-06-27 20:15:43
5,23,GMP,"https://linkprotect.cudasvc.com/url?a=https%3a%2f%2fwoodpartners-my.sharepoint.com%2f%3af%3a%2fp%2ftanner_stallings%2fEuwbN0YtAmBPsnq8VV0HpsABruTthbYWJ_xnoj8iqNRNbg%3fe%3dwopy5c&c=E,1,QwVNQJYqZpYQzzI0Ak0RCeGpDZpe7C9RXYeC3Lp-83kD0ODdM-sVShC9EufgzizSAzjndv3dKzy41y9mWRNufWZ1wo8OpuBrBcxSX1yihcI,&typo=1						",2025-06-27 20:16:51,2025-06-27 20:16:51
6,44,DD,https://weavercooke.pipelinesuite.com/,2025-06-27 20:18:32,2025-06-27 20:18:32
7,13,Permit Drawings,https://app.buildingconnected.com/public/55117e4ee508a40800227563/projects/67e15efdaac872004b640db2,2025-06-27 20:19:23,2025-06-27 20:19:23
8,43,Phase,https://weavercooke.pipelinesuite.com/ehPipelineSubs/dspProject/projectID/292135/confirmResponse/,2025-06-27 20:19:41,2025-06-27 20:19:41
9,42,DD,https://app.buildingconnected.com/_/join-rfp?bgid=68029bed17b19d00417313e1&code=a83a90fb-033d-445f-ab45-497348fbb178&inviterId=622fa3d32051c400ab816a67&inviteeId=653ac274b174a8003178d7dc&share=0						,2025-06-27 20:21:05,2025-06-27 20:21:05
10,14,D1,https://concordeconst.sharepoint.com/Active%20Projects/Forms/AllItems.aspx?id=%2FActive%20Projects%2F24%2D011P%20Downtown%20Pineville%20MF%2F15%20Precon%2F22%20Precon%2F2%2E%20Plans%2F7%2E%20SD%20Drawings%20rcvd%2003jan25%2F0%2E%20Bid%20Documents&p=true&ga=1,2025-06-27 20:23:22,2025-06-27 20:23:22
11,15,GMP,https://www.dropbox.com/scl/fo/wabpf035k4zmqoaudzjf8/ABMiC-s9g1ka60CmroNnl80?rlkey=vm1xjrz786o94xeeoa2zbpkm9&e=1&dl=0,2025-06-27 20:26:54,2025-06-27 20:26:54
12,16,GMP,https://www.dropbox.com/scl/fo/wabpf035k4zmqoaudzjf8/ABMiC-s9g1ka60CmroNnl80?rlkey=vm1xjrz786o94xeeoa2zbpkm9&e=1&dl=0,2025-06-27 20:27:52,2025-06-27 20:27:52
13,17,GMP,https://www.dropbox.com/scl/fo/wabpf035k4zmqoaudzjf8/ABMiC-s9g1ka60CmroNnl80?rlkey=vm1xjrz786o94xeeoa2zbpkm9&e=1&dl=0,2025-06-27 20:28:51,2025-06-27 20:28:51
14,18,GMP,https://www.dropbox.com/scl/fo/wabpf035k4zmqoaudzjf8/ABMiC-s9g1ka60CmroNnl80?rlkey=vm1xjrz786o94xeeoa2zbpkm9&e=1&dl=0,2025-06-27 20:30:19,2025-06-27 20:30:19
15,39,GMP,https://app.buildingconnected.com/_/join-rfp?bgid=68025102dc54af004e6a6f30&code=b756e665-d70c-49d1-b7a9-92fc8ed42017&inviterId=60468e8237062400b3ed5c26&inviteeId=653ac274b174a8003178d7dc&share=1,2025-06-27 20:30:28,2025-06-27 20:30:28
16,37,DD,"https://linkprotect.cudasvc.com/url?a=https%3a%2f%2fapp.buildingconnected.com%2fgoto%2f682211fdbe4b3f003a152897196c51647ebjmr&c=E,1,cf4U_bdO6NSAy60ro9b9vp-k6jC1IFti1C0NAFSCbANbY4-ids61f70HB79XqTyu-dmPJhV5TlxVmaunBz3Xe76SH2yOSm8jTOJpd4qGhA,,&typo=1						",2025-06-27 20:32:06,2025-06-27 20:32:06
17,36,GMP ,https://app.buildingconnected.com/_/join-rfp?bgid=6836ff8af593d10049033d1a&code=4bff8572-fe64-4606-9f3b-7700eb85bba2&inviterId=6523ef510c3ad4003756f807&inviteeId=6792511799c877004a0c4634&share=1,2025-06-27 20:34:04,2025-06-27 20:34:04
18,31,GMP,https://app.buildingconnected.com/_/join-rfp?bgid=6836ff8af593d10049033d1a&code=4bff8572-fe64-4606-9f3b-7700eb85bba2&inviterId=6523ef510c3ad4003756f807&inviteeId=6792511799c877004a0c4634&share=1,2025-06-27 20:34:11,2025-06-27 20:34:11
19,19,D1,"https://linkprotect.cudasvc.com/url?a=https%3a%2f%2fclick.procore.com%2ff%2fa%2ffpdir-Oyvh76wIPg91pyrQ~~%2fAAQRxRA~%2fJhdKk2cko56WKUnlVM8HM3h3Ra9YoVg_DuJZwTUVwAPdDRHPZOutfB2qkn8u105DceBFovi0NgPyEsEOFV8ofdksuZGPnM1PcV0Yeztd1ubrglAdDzy9JKRepaZsU0GVuB2Qa2k89-hAFeIoctG9mivw71B4Z1Faa4n1xuBsbR5QIxisbwXpakZ9meXEgiLTQfx9hphTRLbForrCakp0mOgbMnNx3CLVZrAUMnpLLv9AFyoFGkKxeE63BVxcF5_3&c=E,1,XXlZm7_1MADfBJ_JdWed3VAw6RXS6jdhG8Ci0gjC4caIBRCW2mjJlNXHvTW6dRzzbd8Xji67q_5xvV-neR50UV-jnBFMlgG87XGARS-vRfq6G931bTJGgz6m&typo=1",2025-06-27 20:34:21,2025-06-27 20:34:21
20,22,Release 1,https://us02.procore.com/webclients/host/companies/562949953449075/tools/ct/bid-board/562949955088901/project/details,2025-06-27 20:40:25,2025-06-27 20:40:25
21,24,D1,https://app.buildingconnected.com/_/join-rfp?bgid=66586b6b2878f5003b382707&code=f062dd49-1ad6-44ee-b8ae-ef874e1147cb&inviterId=5cacb87cc3758200312d18ce&inviteeId=54da9aaa1794ef0600419254&share=0,2025-06-27 20:49:31,2025-06-27 20:49:31
22,35,GMP,https://harkinsbuilders-my.sharepoint.com/personal/cmelton_harkinsbuilders_com/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fcmelton%5Fharkinsbuilders%5Fcom%2FDocuments%2FDownloads%2FLong%20Shoals%20Combined%20Set%2Epdf&parent=%2Fpersonal%2Fcmelton%5Fharkinsbuilders%5Fcom%2FDocuments%2FDownloads&ga=1											,2025-06-27 20:50:50,2025-06-27 20:50:50
23,27,D1,"https://linkprotect.cudasvc.com/url?a=https%3a%2f%2fapp.buildingconnected.com%2fgoto%2f67abaa610f756900379429dc194f6918e98istb&c=E,1,laMqUpr8ZYIcEdTfBtsWY9-0gCyyMjLVKmHBceszMZYjbbntjnk0yGpLj6yn7-82S8QwgAavC8pNSUq9fYObRg6fuSBZOodNtdz7enTXC3c,&typo=1",2025-06-27 20:52:01,2025-06-27 20:52:01
24,34,RFP,https://app.buildingconnected.com/_/join-rfp?bgid=677bd607827c28111e558d30&code=91a9596f-626e-456c-8fee-8a024c0f2e7e&inviterId=65d358d6e30462003b7c528b&inviteeId=653ac274b174a8003178d7dc&share=0,2025-06-27 20:54:38,2025-06-27 20:54:38
25,33,RFP,https://app.buildingconnected.com/_/join-rfp?bgid=68531b357a331e00413b61fb&code=9abd9c01-bfd2-494c-b9d7-ece9ddd7231d&inviterId=5c914461a446c000164aab96&inviteeId=653ac274b174a8003178d7dc&share=0,2025-06-27 20:55:32,2025-06-27 20:55:32
26,32,CD,https://app.buildingconnected.com/_/join-rfp?bgid=67a35f58b2a957007b2c7d35&code=94761c29-fe6b-4fb3-93b6-1949fe2f47e7&inviterId=64ac2bee0741d7004b89f00e&inviteeId=62fe87f31a723f006b462268&share=1,2025-06-27 20:57:42,2025-06-27 20:57:42
27,30,DD,https://www.dropbox.com/scl/fo/tcb2c5sln6902zaur0bto/ADCXHlKulynpRlHwWjIAlME?rlkey=okpd4281fuqanmyleu3nt7cls&st=asgesebn&dl=0						 						,2025-06-27 20:59:11,2025-06-27 20:59:11
28,29,D1,"https://linkprotect.cudasvc.com/url?a=https%3a%2f%2fclick.procore.com%2ff%2fa%2fF9UYSEUTvdNxidLHz-dhNw~~%2fAAQRxRA~%2fY4PYVm9UALwUUv_DQnHWlJum-lNObHDtuBw-JZibSMHBIZb_JCWE24FoLNsfwAfMaWNNE0A2ESmriv3MGz4edx3GtWZSDyeX3p2ikcfHG2aKWsbNAxZq4b-ivPbOWsma4cjQRLc7OKdoU1dI3mt7tUML5NUu4n5qduJ2nSQ2112doaeUptyGeJpY28Y57e0mcu9ksLe2ziGOb2sbVdD16PqsbRb7h32tGVO9I6w8rObmKfjDK_Levd6MS_iOKnV6&c=E,1,o-y502gIuTP4Tx3gpHkX79ylR2UigRL_UpUixFMO5pWF1n0VyHOzLjciXkSB0Y51fQldnyRwHgiMz8_D11oM499DMMWfqF8EfUpG62JQNRJZ0BBXlAI8zcCVJw,,&typo=1",2025-06-27 21:02:13,2025-06-27 21:02:13
29,45,Permit Set ,https://www.dropbox.com/scl/fo/24fkdu3hpx93791lx3hde/AMbZoc01lVPTYfAZMHwCZc8?rlkey=jv37uo4epwiw3d0c50d3cp4fm&dl=0,2025-07-02 12:56:41,2025-07-02 12:56:41
30,28,GMP,https://gocc.smartbid.co/#/BidProject/Invited/773343/18614119/bp,2025-07-08 12:37:24,2025-07-08 12:37:24
31,48,DD,https://app.buildingconnected.com/opportunities/682b7bcab916ff00392c7295/files,2025-07-08 12:42:55,2025-07-10 12:23:18
32,26,Bid Clarification # 2,https://app.buildingconnected.com/opportunities/66fdab30e47f9e0081a48692/files,2025-07-08 15:13:25,2025-07-08 15:13:25
33,49,CD,https://concordeconst.sharepoint.com/Active%20Projects/Forms/AllItems.aspx?id=%2FActive%20Projects%2F24%2D011P%20Downtown%20Pineville%20MF%2F15%20Precon%2F22%20Precon%2F2%2E%20Plans%2F0%2E%20Pineville%20%2D%20CD%20Pricing%20Documents%2FConstruction%20Documents%2FArchitectural%2C%20Structural%2C%20MEP&viewid=043d1f8f%2D1fb8%2D4644%2Da208%2Dbe4788050b3b&p=true&ga=1,2025-07-08 15:27:25,2025-07-08 15:27:25
34,50,DD,https://app.buildingconnected.com/opportunities/685d8bd8daab33cdce686057/files,2025-07-08 15:55:01,2025-07-08 15:55:01
35,53,DD,https://app.buildingconnected.com/opportunities/683dad06e8c4dd005bfcccde/messages/6842fe432cfc4aeffed1e622,2025-07-14 18:10:10,2025-07-14 18:10:10
36,49,CD,"https://linkprotect.cudasvc.com/url?a=https%3a%2f%2fconcordeconst.sharepoint.com%2f%3af%3a%2fg%2fEo33fndQcjpHroCtWyqosNcBgDN9IHBQtggowRDJI4NSRw%3fe%3diyXbMZ&c=E,1,l5W8dLshaFrWKmm2b2ijhMkT9695AGr0Punv7LBxQzzvQ2WqpffRpOiQIGTmqedhDvfgFc119L0OkD8vaR-TeUfq4PfO_3KQg2PANtcZyjwM98eY2Q,,&typo=1",2025-07-15 12:35:30,2025-07-15 12:35:30
37,27,DD,https://app.buildingconnected.com/opportunities/686eb89481f43a0038e69dbb/files,2025-07-18 13:40:04,2025-07-18 13:40:04
38,66,GMP,https://www.dropbox.com/scl/fo/6yfpy8cfiawbqc5edeqn5/ACCx7EB4XfgFH5T1CBwZxuU?rlkey=2l12d9guvaz3nsaqhiqqxnyfz&e=1&st=t25ppq4c&dl=0,2025-07-28 20:48:40,2025-07-28 20:48:40
39,75,1 Set,https://gocc.smartbid.co/#/BidProject/Invited/817661/17971971/bp,2025-08-01 15:48:50,2025-08-01 15:48:50
40,76,CD,https://www.barringerconstructionplans.com/?accesskey=2639E3D18F#projects/462685/dashboard,2025-08-01 20:56:19,2025-08-01 20:56:19
41,80,Drawings,https://concordeconst.sharepoint.com/Active%20Projects/Forms/AllItems.aspx?id=%2FActive%20Projects%2F23%2D023P%20Franklin%20Yard%20Apartments%2F15%20Precon%2F22%20Precon%2F2%2E%20Plans%2F0%2E%20July%20%2725%20Bid%20Documents&p=true&ga=1,2025-08-11 17:42:39,2025-08-11 17:42:39
